,runId,trId,value,timestamp
0,1.0,,,1602798604.6575732
1,1.0,1.0,1.0,1602798605.1717498
2,1.0,2.0,2.0,1602798605.711642
3,1.0,3.0,3.0,1602798606.3051672
4,1.0,4.0,4.0,1602798606.9145799
5,1.0,,,1602804705.957522
6,1.0,1.0,1.0,1602804706.321951
7,1.0,2.0,2.0,1602804706.617249
8,1.0,3.0,3.0,1602804706.9135208
9,1.0,4.0,4.0,1602804707.210515
10,1.0,,,1602804852.002298
11,1.0,1.0,1.0,1602804852.191366
12,1.0,2.0,2.0,1602804852.491775
13,1.0,3.0,3.0,1602804852.791755
14,1.0,4.0,4.0,1602804853.091906
15,1.0,,,1602805922.7416902
16,1.0,1.0,1.0,1602805922.893497
17,1.0,2.0,2.0,1602805923.190785
18,1.0,3.0,3.0,1602805923.491341
19,1.0,4.0,4.0,1602805923.798482
20,1.0,,,1602806268.7115252
21,1.0,1.0,1.0,1602806268.898803
22,1.0,2.0,2.0,1602806269.207647
23,1.0,3.0,3.0,1602806269.522779
24,1.0,4.0,4.0,1602806269.9075131
25,1.0,,,1602806368.356122
26,1.0,1.0,1.0,1602806368.49822
27,1.0,2.0,2.0,1602806368.802777
28,1.0,3.0,3.0,1602806369.0983438
29,1.0,4.0,4.0,1602806369.40844
